Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);Nominal Power (W);;;Power (kW)
5000;0.2;1.169514651;900000;77.0211;1.0139;1.0828;0.99989;2.5717;0.069319;0.3010725;-10;12.576;684.78;0.029955;1184.98;1000300;;;900
5000;0.4;0.123113475;100010;158.4685;0.68301;0.48789;0.9977;0.87879;0.015848;0.1463315;-10;3.6585;504.72;0.020038;36.39;1000300;;;100.01
5000;0.4;0.369303494;300000;90.6809;0.81869;0.77132;0.9988;1.4808;0.027204;0.2557202;-10;6.3521;568.08;0.020413;200.12;1000300;;;300
5000;0.4;0.615505823;500000;78.3775;0.89408;0.8885;0.99931;1.9131;0.039189;0.295862;-10;8.5392;606.5;0.022762;418.38;1000300;;;500
5000;0.4;0.861708152;700000;75.1966;0.9544;0.97694;0.99964;2.2931;0.052638;0.3083775;-10;10.646;642.56;0.025507;696.23;1000300;;;700
5000;0.4;1.107910481;900000;75.6065;1.0047;1.0672;0.99989;2.6348;0.068046;0.3067054;-10;12.732;679.83;0.028699;1036.14;1000300;;;900
5000;0.6;0.342270394;300000;88.2911;0.80809;0.72667;0.9988;1.506;0.026487;0.2626418;-10;6.4019;570.34;0.019542;106.06;1000300;;;300
5000;0.6;0.570450656;500000;76.7819;0.88411;0.86145;0.99931;1.9381;0.038391;0.3020105;-10;8.5964;610.44;0.022009;298.63;1000300;;;500
5000;0.6;0.798630918;700000;73.3328;0.94426;0.94888;0.99964;2.3461;0.051333;0.316215;-10;10.77;642.45;0.024312;555.59;1000300;;;700
5000;0.6;1.026811181;900000;73.8258;0.99306;1.0254;0.99989;2.704;0.066443;0.3141032;-10;12.904;677.79;0.027303;879.88;1000300;;;900
6000;0;0.146046906;100010;154.3883;0.68222;0.53186;0.9977;0.79217;0.01544;0.1501987;-10;3.3545;499.13;0.021657;140.94;1000300;;;100.01
6000;0;0.438096907;300000;89.5181;0.83085;0.81695;0.9988;1.3618;0.026855;0.2590417;-10;5.9295;563.5;0.021912;382.59;1000300;;;300
6000;0;0.730161512;500000;78.3459;0.91237;0.9339;0.99931;1.7883;0.039173;0.2959816;-10;8.1036;604.04;0.024339;671.94;1000300;;;500
6000;0;1.022226116;700000;76.8615;0.97474;1.0406;0.99964;2.1327;0.053803;0.3016976;-10;10.153;649.55;0.028031;1015.68;1000300;;;700
6000;0.2;0.143182339;100010;153.7643;0.67967;0.52362;0.9977;0.79374;0.015378;0.1508083;-10;3.3571;499.97;0.021526;91.86;1000300;;;100.01
6000;0.2;0.429504066;300000;89.0586;0.82858;0.8098;0.9988;1.3662;0.026718;0.2603784;-10;5.937;563.94;0.021733;298.36;1000300;;;300
6000;0.2;0.71584011;500000;77.9162;0.91036;0.92813;0.99931;1.7967;0.038958;0.2976136;-10;8.1201;603.95;0.024098;562.04;1000300;;;500
6000;0.2;1.002176154;700000;76.3807;0.97207;1.0327;0.99964;2.1476;0.053467;0.3035967;-10;10.184;648.35;0.027672;886.09;1000300;;;700
6000;0.4;0.135346181;100010;151.736;0.67156;0.50042;0.9977;0.79936;0.015175;0.1528242;-10;3.3668;502.23;0.021093;42.46;1000300;;;100.01
6000;0.4;0.405997943;300000;87.7525;0.82073;0.78903;0.9988;1.3805;0.026326;0.2642539;-10;5.9668;565.21;0.02119;214.23;1000300;;;300
6000;0.4;0.676663238;500000;76.8906;0.90171;0.91199;0.99931;1.8167;0.038445;0.3015834;-10;8.1662;604.94;0.023517;452.84;1000300;;;500
6000;0.4;0.947328534;700000;75.1755;0.9652;1.0086;0.99964;2.187;0.052623;0.308464;-10;10.279;646.08;0.02674;759.7;1000300;;;700
6000;0.4;1.217993829;900000;77.5246;1.0238;1.0989;0.99989;2.4953;0.069772;0.2991169;-10;12.349;694.21;0.031068;1141.6;1000300;;;900
6000;0.6;0.374545863;300000;85.5262;0.80916;0.75204;0.9988;1.4049;0.025658;0.2711325;-10;6.0163;567.23;0.020293;128;1000300;;;300
6000;0.6;0.624243105;500000;75.3945;0.88961;0.88033;0.99931;1.8416;0.037697;0.307568;-10;8.2242;608.29;0.022745;341.33;1000300;;;500
6000;0.6;0.873940347;700000;73.4413;0.95427;0.97374;0.99964;2.2389;0.051409;0.3157477;-10;10.405;645.44;0.025515;629.7;1000300;;;700
6000;0.6;1.123637589;900000;75.2503;1.0084;1.0694;0.99989;2.6006;0.067725;0.3081573;-10;12.614;685.42;0.028938;1005.86;1000300;;;900
7000;0;0.162496344;100010;147.6265;0.6681;0.54533;0.9977;0.72054;0.014764;0.1570784;-10;3.0875;496.8;0.022767;136.32;1000300;;;100.01
7000;0;0.487440289;300000;86.719;0.83206;0.8307;0.9988;1.272;0.026016;0.2674031;-10;5.582;560.95;0.022725;384.39;1000300;;;300
7000;0;0.812400481;500000;77.5325;0.92012;0.9582;0.99931;1.6921;0.038766;0.2990868;-10;7.7568;605.99;0.025456;695.52;1000300;;;500
7000;0;1.137360673;700000;78.1203;0.99228;1.0687;0.99964;2.0057;0.054684;0.2968361;-10;9.7736;662.86;0.030294;1066.37;1000300;;;700
7000;0.2;0.158937766;100010;147.0938;0.66586;0.53687;0.9977;0.72181;0.014711;0.1576472;-10;3.0896;497.63;0.022645;92.29;1000300;;;100.01
7000;0.2;0.476765622;300000;86.3488;0.83044;0.82637;0.9988;1.2758;0.025905;0.2685496;-10;5.5903;561.56;0.02256;307.02;1000300;;;300
7000;0.2;0.79460937;500000;77.1521;0.91794;0.95123;0.99931;1.7003;0.038576;0.3005614;-10;7.7753;605.79;0.025209;593.5;1000300;;;500
7000;0.2;1.112453118;700000;77.5887;0.98859;1.0612;0.99964;2.0257;0.054312;0.2988698;-10;9.8226;660.32;0.02979;949.12;1000300;;;700
7000;0.4;0.149987252;100010;145.5114;0.65763;0.51316;0.9977;0.72549;0.014552;0.1593616;-10;3.0958;500.15;0.022287;48.04;1000300;;;100.01
7000;0.4;0.449916765;300000;85.1413;0.82385;0.80748;0.9988;1.2881;0.025542;0.2723583;-10;5.6142;562.94;0.022036;229.33;1000300;;;300
7000;0.4;0.749861276;500000;76.033;0.91194;0.93309;0.99931;1.724;0.038017;0.304985;-10;7.829;605.55;0.024501;492.29;1000300;;;500
7000;0.4;1.049805786;700000;76.1378;0.97893;1.0458;0.99964;2.0794;0.053296;0.3045654;-10;9.9533;654.58;0.028479;836.31;1000300;;;700
7000;0.6;0.137599406;100010;142.602;0.64033;0.47793;0.9977;0.73316;0.014261;0.162613;-10;3.1087;503.74;0.021613;3.01;1000300;;;100.01
7000;0.6;0.412756941;300000;83.1079;0.81151;0.77428;0.9988;1.3111;0.024932;0.2790219;-10;5.6622;564.77;0.021131;150.38;1000300;;;300
