Alt (m);Mach number;Throttle;Power (kW);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
2000;0.4;0.338851777;700000;80.0779;0.84752;0.73963;0.99895;3.4902;0.056055;0.2895798;-10;10.201;621.05;0.017845;322;;;;700
2000;0.4;0.43566657;900000;74.4441;0.8767;0.80658;0.9992;3.9014;0.067;0.3114947;-10;11.652;640.4;0.019081;479.59;;;;900
2000;0.4;0.532481363;1100000;70.9336;0.9014;0.85535;0.9994;4.2833;0.078027;0.3269106;-10;13.034;656.65;0.020241;653.36;;;;1100
2000;0.4;0.629296156;1300000;68.6641;0.92615;0.89617;0.99957;4.6533;0.089263;0.3377155;-10;14.395;671.32;0.021314;846.17;;;;1300
2000;0.4;0.72611095;1500000;67.0657;0.94859;0.92995;0.99971;5.0197;0.1006;0.3457645;-10;15.747;684.07;0.022267;1056.94;;;;1500
2000;0.4;0.822925743;1700000;66.2992;0.96625;0.96358;0.99984;5.3541;0.11271;0.3497619;-10;17.06;698.16;0.02339;1285.86;;;;1700
2000;0.4;0.919740536;1900000;66.0147;0.98451;0.99171;0.99995;5.6674;0.12543;0.3512694;-10;18.347;712.74;0.02459;1531.04;;;;1900
2000;0.4;1.01655533;2100000;65.9582;1.0021;1.0215;1;5.9743;0.13851;0.3515703;-10;19.631;726.78;0.02576;1791.86;;;;2100
2000;0.6;0.316041356;700000;77.8543;0.83654;0.6879;0.99895;3.5371;0.054498;0.2978505;-10;10.263;624.48;0.01712;90.76;;;;700
2000;0.6;0.406338887;900000;72.5757;0.86793;0.75946;0.9992;3.9501;0.065318;0.3195136;-10;11.722;644.33;0.018374;222.36;;;;900
2000;0.6;0.496636417;1100000;69.2862;0.8925;0.81595;0.9994;4.334;0.076215;0.3346833;-10;13.111;661.04;0.01954;371.97;;;;1100
2000;0.6;0.586933947;1300000;67.183;0.91429;0.8606;0.99957;4.7061;0.087338;0.3451607;-10;14.478;675.81;0.02062;541.73;;;;1300
2000;0.6;0.677231478;1500000;65.7921;0.93683;0.90014;0.99971;5.0645;0.098688;0.3524577;-10;15.821;689.59;0.021652;729.21;;;;1500
2000;0.6;0.767529008;1700000;64.8506;0.95732;0.92956;0.99984;5.4291;0.11025;0.3575748;-10;17.182;701.55;0.022564;937.52;;;;1700
2000;0.6;0.857826538;1900000;64.4025;0.97469;0.96172;0.99995;5.7765;0.12236;0.3600625;-10;18.527;713.82;0.023538;1165.17;;;;1900
2000;0.6;0.948124069;2100000;64.3585;0.99092;0.98966;1;6.098;0.13515;0.3603088;-10;19.838;726.98;0.024627;1408.71;;;;2100
2000;0.6;1.038421599;2300000;64.5502;1.0073;1.0153;1.0001;6.4087;0.14847;0.359239;-10;21.143;740.2;0.025741;1671.24;;;;2300
3000;0;0.055064964;100020;203.0421;0.6763;0.37174;0.99701;1.4428;0.020309;0.1142075;-10;3.8744;492.76;0.01564;155.42;;;;100.02
3000;0;0.165172869;300020;109.7139;0.77127;0.58699;0.9981;2.2669;0.032916;0.2113583;-10;6.3138;557.42;0.016135;366.18;;;;300.02
